,0
0,0.6093805
1,0.9071746
2,0.54959184
3,0.9334185
4,0.9291044
5,0.53324735
6,0.6690913
7,0.57240504
8,0.93405616
9,0.9059552
10,0.7428376
11,0.77134496
12,0.9339289
13,0.69714046
14,0.9334467
15,0.40899453
16,0.92447776
17,0.93442756
18,0.9292747
19,0.9330675
20,0.9336698
21,0.8130195
22,0.7175086
23,0.5452593
24,0.4990602
25,0.4260109
26,0.9343272
27,0.76412195
28,0.70939434
29,0.9317021
30,0.9210991
31,0.9336031
32,0.59802455
33,0.9339451
34,0.90197736
35,0.55678576
36,0.9325532
37,0.9340153
38,0.9332002
39,0.87800807
40,0.75623393
41,0.92724395
42,0.9341417
43,0.41191474
44,0.9333465
45,0.90397096
46,0.9087358
47,0.9313722
48,0.90437144
49,0.6579864
50,0.36199147
51,0.8804343
52,0.29398853
53,0.7189745
54,0.5402218
55,0.40767416
56,0.44971097
57,0.73280007
58,0.46738055
59,0.93429667
60,0.93397206
61,0.93449867
62,0.7843192
63,0.93189204
64,0.9320473
65,0.93272555
66,0.9318983
67,0.93333274
68,0.86960894
69,0.9203131
70,0.42183998
71,0.9327088
72,0.9335449
73,0.83572406
74,0.8988499
75,0.5890117
76,0.78761137
77,0.40438882
78,0.93439525
79,0.885709
80,0.83175987
81,0.8628962
82,0.9339657
83,0.76302004
84,0.7231884
85,0.93407536
86,0.82681876
87,0.934533
88,0.85047233
89,0.93018866
90,0.93174094
91,0.85632604
92,0.893109
93,0.9317003
94,0.7836895
95,0.91828936
96,0.9343011
97,0.47805023
98,0.37522155
99,0.8417298
100,0.9117127
101,0.6259336
102,0.93293846
103,0.712738
104,0.9183473
105,0.92530406
106,0.9207731
107,0.81495076
108,0.59674203
109,0.6352552
110,0.90372795
111,0.8331612
112,0.78435796
113,0.07563126
114,0.5807484
115,0.76741827
116,0.8482613
117,0.9335585
118,0.39941052
119,0.9338739
120,0.8969738
121,0.7768873
122,0.87319845
123,0.9339297
124,0.9305137
125,0.39537984
126,0.58095926
127,0.9084435
128,0.932414
129,0.92461
130,0.9322028
131,0.5821363
132,0.68041265
133,0.9303125
134,0.9327927
135,0.57697344
136,0.9174852
137,0.920194
138,0.9302028
139,0.62085694
140,0.90798855
141,0.9344351
142,0.9215766
143,0.93138194
144,0.8341494
145,0.92691666
146,0.92023677
147,0.92557293
148,0.63906944
149,0.9317062
150,0.924155
151,0.93439615
152,0.8950833
153,0.6263474
154,0.9118134
155,0.8091153
156,0.8126424
157,0.9332081
158,0.9317512
159,0.9226728
160,0.9345013
161,0.9325831
162,0.92297345
163,0.9344711
164,0.8365653
165,0.93415934
166,0.9247971
167,0.5857558
168,0.6405859
169,0.93273
170,0.8196276
171,0.8343547
172,0.93454504
173,0.5245929
174,0.55652773
175,0.9339116
176,0.87016964
177,0.76761514
178,0.57963717
179,0.9132041
180,0.809266
181,0.8355662
182,0.93273187
183,0.6987571
184,0.7763703
185,0.46867928
186,0.91967356
187,0.49976176
188,0.33090046
189,0.9303775
190,0.42664024
191,0.49655238
192,0.89342886
193,0.9337554
194,0.7515619
195,0.9322443
196,0.7353477
197,0.9339453
198,0.9222612
199,0.93371713
200,0.8689367
201,0.5442632
202,0.9275811
203,0.41361824
204,0.93451303
205,0.934304
206,0.9243516
207,0.9332923
208,0.8277202
209,0.9104374
210,0.9340626
211,0.93431574
212,0.9319025
213,0.4387341
214,0.9328634
215,0.6481987
216,0.65034896
217,0.9287329
218,0.7020634
219,0.79766774
220,0.93302405
221,0.5744539
222,0.93390524
223,0.9342972
224,0.37170124
225,0.93408024
226,0.93403137
227,0.9334421
228,0.65183693
229,0.88771117
230,0.69968444
231,0.56959116
232,0.9328382
233,0.7534684
234,0.9315136
235,0.928925
236,0.85281336
237,0.93199193
238,0.9028406
239,0.41029456
240,0.7851864
241,0.91041195
242,0.9313798
243,0.9336693
244,0.91529614
245,0.88598686
246,0.7067911
247,0.9333862
248,0.6981628
249,0.51408637
250,0.93139577
251,0.73926955
252,0.5306783
253,0.8926859
254,0.8820959
255,0.9333825
256,0.5620179
257,0.75699943
258,0.931979
259,0.93326545
260,0.81371164
261,0.91781735
262,0.88288385
263,0.63380784
264,0.93451166
265,0.08709114
266,0.4686972
267,0.93343943
268,0.9337698
269,0.9326321
270,0.890111
271,0.6203877
272,0.7379145
273,0.91628814
274,0.62235373
275,0.61834633
276,0.5703802
277,0.9205131
278,0.9340606
279,0.699927
280,0.7670186
281,0.93426996
282,0.8097671
283,0.93228126
284,0.8935521
285,0.41857576
286,0.9293171
287,0.92258644
288,0.9337555
289,0.9080505
290,0.41082323
291,0.933601
292,0.9320513
293,0.59030795
294,0.3959299
295,0.82483697
296,0.93249923
297,0.92943245
298,0.7185523
299,0.93364024
300,0.9223406
301,0.6435285
302,0.9296209
303,0.9336242
304,0.905652
305,0.9140036
306,0.720352
307,0.89245397
308,0.8190948
309,0.5440533
310,0.9323511
311,0.4221781
312,0.6555511
313,0.9318774
314,0.53420365
315,0.9342677
316,0.45397606
317,0.9342867
318,0.76061666
319,0.3764832
320,0.9340668
321,0.8994254
322,0.72319114
323,0.93068457
324,0.9342008
325,0.9288428
326,0.84324235
327,0.9298174
328,0.93335843
329,0.9291616
330,0.93220866
331,0.92901945
332,0.92764074
333,0.9315438
334,0.8037825
335,0.93316615
336,0.91834706
337,0.93274355
